"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Unknown Serogroup",2014,25,2,134,"2014-06-15"
"ACWY Serogroups",2014,26,0,54,"2014-06-22"
"Serogroup B",2014,26,0,32,"2014-06-22"
"Other Serogroup",2014,26,0,7,"2014-06-22"
"Unknown Serogroup",2014,26,5,144,"2014-06-22"
"ACWY Serogroups",2014,27,1,59,"2014-06-29"
"Serogroup B",2014,27,0,32,"2014-06-29"
"Other Serogroup",2014,27,0,7,"2014-06-29"
"Unknown Serogroup",2014,27,1,143,"2014-06-29"
"ACWY Serogroups",2014,28,0,59,"2014-07-06"
"Serogroup B",2014,28,0,33,"2014-07-06"
"Other Serogroup",2014,28,0,8,"2014-07-06"
"Unknown Serogroup",2014,28,1,143,"2014-07-06"
"ACWY Serogroups",2014,29,0,63,"2014-07-13"
"Serogroup B",2014,29,0,33,"2014-07-13"
"Other Serogroup",2014,29,0,8,"2014-07-13"
"Unknown Serogroup",2014,29,0,144,"2014-07-13"
"ACWY Serogroups",2014,30,0,64,"2014-07-20"
"Serogroup B",2014,30,0,33,"2014-07-20"
"Other Serogroup",2014,30,0,14,"2014-07-20"
"Unknown Serogroup",2014,30,1,140,"2014-07-20"
"ACWY Serogroups",2014,31,0,69,"2014-07-27"
"Serogroup B",2014,31,0,35,"2014-07-27"
"Other Serogroup",2014,31,0,14,"2014-07-27"
"Unknown Serogroup",2014,31,4,143,"2014-07-27"
"ACWY Serogroups",2014,32,2,73,"2014-08-03"
"Serogroup B",2014,32,1,37,"2014-08-03"
"Other Serogroup",2014,32,0,15,"2014-08-03"
"Unknown Serogroup",2014,32,0,145,"2014-08-03"
"ACWY Serogroups",2014,33,0,75,"2014-08-10"
"Serogroup B",2014,33,2,39,"2014-08-10"
"Other Serogroup",2014,33,0,15,"2014-08-10"
"Unknown Serogroup",2014,33,1,145,"2014-08-10"
"ACWY Serogroups",2014,34,0,75,"2014-08-17"
"Serogroup B",2014,34,0,40,"2014-08-17"
"Other Serogroup",2014,34,0,16,"2014-08-17"
"Unknown Serogroup",2014,34,2,150,"2014-08-17"
"ACWY Serogroups",2014,35,0,75,"2014-08-24"
"Serogroup B",2014,35,0,40,"2014-08-24"
"Other Serogroup",2014,35,0,16,"2014-08-24"
"Unknown Serogroup",2014,35,4,154,"2014-08-24"
"ACWY Serogroups",2014,36,0,76,"2014-08-31"
"Serogroup B",2014,36,0,40,"2014-08-31"
"Other Serogroup",2014,36,0,17,"2014-08-31"
"Unknown Serogroup",2014,36,2,156,"2014-08-31"
"ACWY Serogroups",2014,37,0,77,"2014-09-07"
"Serogroup B",2014,37,0,40,"2014-09-07"
"Other Serogroup",2014,37,0,18,"2014-09-07"
"Unknown Serogroup",2014,37,2,159,"2014-09-07"
"ACWY Serogroups",2014,38,0,77,"2014-09-14"
"Serogroup B",2014,38,0,40,"2014-09-14"
"Other Serogroup",2014,38,0,17,"2014-09-14"
"Unknown Serogroup",2014,38,2,164,"2014-09-14"
"ACWY Serogroups",2014,39,0,77,"2014-09-21"
"Serogroup B",2014,39,0,40,"2014-09-21"
"Other Serogroup",2014,39,0,19,"2014-09-21"
"Unknown Serogroup",2014,39,4,168,"2014-09-21"
"ACWY Serogroups",2014,40,1,80,"2014-09-28"
"Serogroup B",2014,40,0,40,"2014-09-28"
"Other Serogroup",2014,40,0,20,"2014-09-28"
"Unknown Serogroup",2014,40,3,173,"2014-09-28"
"ACWY Serogroups",2014,41,0,81,"2014-10-05"
"Serogroup B",2014,41,1,43,"2014-10-05"
"Other Serogroup",2014,41,0,19,"2014-10-05"
"Unknown Serogroup",2014,41,1,172,"2014-10-05"
"ACWY Serogroups",2014,42,0,81,"2014-10-12"
"Serogroup B",2014,42,1,47,"2014-10-12"
"Other Serogroup",2014,42,0,20,"2014-10-12"
"Unknown Serogroup",2014,42,3,176,"2014-10-12"
"ACWY Serogroups",2014,43,0,82,"2014-10-19"
"Serogroup B",2014,43,1,47,"2014-10-19"
"Other Serogroup",2014,43,0,20,"2014-10-19"
"Unknown Serogroup",2014,43,2,179,"2014-10-19"
"ACWY Serogroups",2014,44,1,84,"2014-10-26"
"Serogroup B",2014,44,0,48,"2014-10-26"
"Other Serogroup",2014,44,0,18,"2014-10-26"
"Unknown Serogroup",2014,44,2,186,"2014-10-26"
"ACWY Serogroups",2014,45,1,85,"2014-11-02"
"Serogroup B",2014,45,0,50,"2014-11-02"
"Other Serogroup",2014,45,0,20,"2014-11-02"
"Unknown Serogroup",2014,45,1,188,"2014-11-02"
"ACWY Serogroups",2014,46,0,86,"2014-11-09"
"Serogroup B",2014,46,1,52,"2014-11-09"
"Other Serogroup",2014,46,1,21,"2014-11-09"
"Unknown Serogroup",2014,46,3,191,"2014-11-09"
"ACWY Serogroups",2014,47,0,86,"2014-11-16"
"Serogroup B",2014,47,0,54,"2014-11-16"
"Other Serogroup",2014,47,0,21,"2014-11-16"
"Unknown Serogroup",2014,47,4,195,"2014-11-16"
"ACWY Serogroups",2014,48,1,88,"2014-11-23"
"Serogroup B",2014,48,0,54,"2014-11-23"
"Other Serogroup",2014,48,0,21,"2014-11-23"
"Unknown Serogroup",2014,48,2,199,"2014-11-23"
"ACWY Serogroups",2014,49,0,88,"2014-11-30"
"Serogroup B",2014,49,0,54,"2014-11-30"
"Other Serogroup",2014,49,0,21,"2014-11-30"
"Unknown Serogroup",2014,49,2,203,"2014-11-30"
"ACWY Serogroups",2014,50,1,91,"2014-12-07"
"Serogroup B",2014,50,1,57,"2014-12-07"
"Other Serogroup",2014,50,0,18,"2014-12-07"
"Unknown Serogroup",2014,50,2,206,"2014-12-07"
"ACWY Serogroups",2014,51,0,92,"2014-12-14"
"Serogroup B",2014,51,0,59,"2014-12-14"
"Other Serogroup",2014,51,1,19,"2014-12-14"
"Unknown Serogroup",2014,51,4,211,"2014-12-14"
"ACWY Serogroups",2014,52,1,93,"2014-12-21"
"Serogroup B",2014,52,0,59,"2014-12-21"
"Other Serogroup",2014,52,0,19,"2014-12-21"
"Unknown Serogroup",2014,52,2,215,"2014-12-21"
"ACWY Serogroups",2014,53,0,96,"2014-12-28"
"Serogroup B",2014,53,0,62,"2014-12-28"
"Other Serogroup",2014,53,0,19,"2014-12-28"
"Unknown Serogroup",2014,53,1,220,"2014-12-28"
"ACWY Serogroups",2015,1,0,0,"2015-01-04"
"Serogroup B",2015,1,0,0,"2015-01-04"
"Other Serogroup",2015,1,0,0,"2015-01-04"
"Unknown Serogroup",2015,1,3,3,"2015-01-04"
