"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Unknown Serogroup",2016,47,2,147,"2016-11-20"
"Unknown Serogroup",2016,12,3,40,"2016-03-20"
"ACWY Serogroups",2016,6,0,6,"2016-02-07"
"ACWY Serogroups",2016,21,0,40,"2016-05-22"
"Unknown Serogroup",2016,4,0,9,"2016-01-24"
"Unknown Serogroup",2016,1,1,1,"2016-01-03"
"Unknown Serogroup",2016,28,1,104,"2016-07-10"
"Other Serogroup",2016,33,0,11,"2016-08-14"
"Other Serogroup",2016,28,0,9,"2016-07-10"
"ACWY Serogroups",2016,12,0,21,"2016-03-20"
"Serogroup B",2016,24,0,34,"2016-06-12"
"Unknown Serogroup",2016,19,3,66,"2016-05-08"
"Unknown Serogroup",2016,38,1,130,"2016-09-18"
"ACWY Serogroups",2016,3,0,2,"2016-01-17"
"Unknown Serogroup",2016,15,0,53,"2016-04-10"
"ACWY Serogroups",2016,46,0,78,"2016-11-13"
"Unknown Serogroup",2016,11,5,35,"2016-03-13"
"Serogroup B",2016,22,0,32,"2016-05-29"
"Other Serogroup",2016,24,0,7,"2016-06-12"
"ACWY Serogroups",2016,10,0,16,"2016-03-06"
"ACWY Serogroups",2016,24,0,48,"2016-06-12"
"Serogroup B",2016,11,0,12,"2016-03-13"
"Other Serogroup",2016,26,0,7,"2016-06-26"
"Serogroup B",2016,4,0,3,"2016-01-24"
"ACWY Serogroups",2016,17,0,31,"2016-04-24"
"ACWY Serogroups",2016,30,0,57,"2016-07-24"
"Other Serogroup",2016,7,0,0,"2016-02-14"
"Unknown Serogroup",2016,30,4,113,"2016-07-24"
"Other Serogroup",2016,10,0,1,"2016-03-06"
"ACWY Serogroups",2016,9,0,14,"2016-02-28"
"ACWY Serogroups",2016,16,2,31,"2016-04-17"
"Unknown Serogroup",2016,33,1,121,"2016-08-14"
"Serogroup B",2016,18,1,24,"2016-05-01"
"Serogroup B",2016,27,0,41,"2016-07-03"
"ACWY Serogroups",2016,37,0,64,"2016-09-11"
"ACWY Serogroups",2016,44,0,75,"2016-10-30"
"Serogroup B",2016,42,0,53,"2016-10-16"
"Other Serogroup",2016,35,0,12,"2016-08-28"
"Unknown Serogroup",2016,5,6,15,"2016-01-31"
"Serogroup B",2016,14,2,18,"2016-04-03"
"Serogroup B",2016,44,1,57,"2016-10-30"
"Unknown Serogroup",2016,9,1,23,"2016-02-28"
"Serogroup B",2016,29,0,42,"2016-07-17"
"Other Serogroup",2016,30,0,9,"2016-07-24"
"Serogroup B",2016,2,0,0,"2016-01-10"
"Serogroup B",2016,20,0,29,"2016-05-15"
"Serogroup B",2016,48,1,62,"2016-11-27"
"ACWY Serogroups",2016,29,0,58,"2016-07-17"
"Unknown Serogroup",2016,20,3,72,"2016-05-15"
"Serogroup B",2016,38,0,51,"2016-09-18"
"Unknown Serogroup",2016,29,1,107,"2016-07-17"
"Other Serogroup",2016,14,0,2,"2016-04-03"
"Unknown Serogroup",2016,18,4,66,"2016-05-01"
"Unknown Serogroup",2016,48,1,156,"2016-11-27"
"ACWY Serogroups",2016,14,1,25,"2016-04-03"
"Serogroup B",2016,47,0,61,"2016-11-20"
"Other Serogroup",2016,4,0,0,"2016-01-24"
"Unknown Serogroup",2016,6,2,18,"2016-02-07"
"Other Serogroup",2016,48,0,13,"2016-11-27"
"Other Serogroup",2016,11,0,2,"2016-03-13"
"Serogroup B",2016,6,0,6,"2016-02-07"
"Serogroup B",2016,43,1,55,"2016-10-23"
"ACWY Serogroups",2016,27,0,56,"2016-07-03"
"Serogroup B",2016,39,0,52,"2016-09-25"
"Serogroup B",2016,32,1,46,"2016-08-07"
"Other Serogroup",2016,13,0,2,"2016-03-27"
"Unknown Serogroup",2016,32,3,118,"2016-08-07"
"Unknown Serogroup",2016,37,1,129,"2016-09-11"
"Serogroup B",2016,9,1,9,"2016-02-28"
"Serogroup B",2016,16,0,21,"2016-04-17"
"Other Serogroup",2016,39,0,12,"2016-09-25"
"ACWY Serogroups",2016,43,0,75,"2016-10-23"
"Serogroup B",2016,23,0,32,"2016-06-05"
"Unknown Serogroup",2016,14,1,52,"2016-04-03"
"Unknown Serogroup",2016,39,2,134,"2016-09-25"
"Unknown Serogroup",2016,13,7,46,"2016-03-27"
"Unknown Serogroup",2016,43,1,144,"2016-10-23"
"Serogroup B",2016,10,0,11,"2016-03-06"
"Serogroup B",2016,35,1,49,"2016-08-28"
"Other Serogroup",2016,18,0,4,"2016-05-01"
"Serogroup B",2016,34,0,48,"2016-08-21"
"Unknown Serogroup",2016,2,5,7,"2016-01-10"
"Other Serogroup",2016,16,0,4,"2016-04-17"
"Unknown Serogroup",2016,23,3,84,"2016-06-05"
"Other Serogroup",2016,5,0,0,"2016-01-31"
"Serogroup B",2016,1,0,0,"2016-01-03"
"Unknown Serogroup",2016,34,1,124,"2016-08-21"
"Other Serogroup",2016,40,0,13,"2016-10-02"
"Unknown Serogroup",2016,42,2,142,"2016-10-16"
"Unknown Serogroup",2016,46,0,144,"2016-11-13"
"Other Serogroup",2016,42,0,13,"2016-10-16"
"Other Serogroup",2016,21,0,5,"2016-05-22"
"Unknown Serogroup",2016,21,2,74,"2016-05-22"
"Unknown Serogroup",2016,7,1,20,"2016-02-14"
"ACWY Serogroups",2016,48,1,84,"2016-11-27"
"ACWY Serogroups",2016,41,1,68,"2016-10-09"
"ACWY Serogroups",2016,33,0,57,"2016-08-14"
"Serogroup B",2016,26,1,39,"2016-06-26"
"ACWY Serogroups",2016,5,0,5,"2016-01-31"
"Serogroup B",2016,28,0,42,"2016-07-10"
"ACWY Serogroups",2016,13,0,22,"2016-03-27"
"Other Serogroup",2016,17,0,4,"2016-04-24"
"Other Serogroup",2016,36,0,12,"2016-09-04"
"ACWY Serogroups",2016,25,0,51,"2016-06-19"
"ACWY Serogroups",2016,40,0,66,"2016-10-02"
"Other Serogroup",2016,45,0,13,"2016-11-06"
"Unknown Serogroup",2016,17,2,60,"2016-04-24"
"Other Serogroup",2016,32,0,11,"2016-08-07"
"Other Serogroup",2016,44,0,13,"2016-10-30"
"ACWY Serogroups",2016,4,0,2,"2016-01-24"
"Serogroup B",2016,13,0,14,"2016-03-27"
"Other Serogroup",2016,22,0,6,"2016-05-29"
"Other Serogroup",2016,49,0,13,"2016-12-04"
"Unknown Serogroup",2016,49,3,160,"2016-12-04"
"Serogroup B",2016,49,1,64,"2016-12-04"
"ACWY Serogroups",2016,49,1,87,"2016-12-04"
"Serogroup B",2016,50,1,67,"2016-12-11"
"Unknown Serogroup",2016,50,0,161,"2016-12-11"
"Other Serogroup",2016,50,0,13,"2016-12-11"
"ACWY Serogroups",2016,50,0,88,"2016-12-11"
"Serogroup B",2016,51,0,69,"2016-12-18"
"Unknown Serogroup",2016,51,3,163,"2016-12-18"
"ACWY Serogroups",2016,51,0,88,"2016-12-18"
"Other Serogroup",2016,51,0,13,"2016-12-18"
"Unknown Serogroup",2016,52,3,166,"2016-12-25"
"Serogroup B",2016,52,0,71,"2016-12-25"
"Other Serogroup",2016,52,0,14,"2016-12-25"
"ACWY Serogroups",2016,52,0,89,"2016-12-25"
"ACWY Serogroups",2017,1,0,0,"2017-01-01"
"Serogroup B",2017,1,0,0,"2017-01-01"
"Other Serogroup",2017,1,0,0,"2017-01-01"
"Unknown Serogroup",2017,1,3,3,"2017-01-01"
"Other Serogroup",2017,2,0,0,"2017-01-08"
"Unknown Serogroup",2017,2,3,5,"2017-01-08"
"ACWY Serogroups",2017,2,0,1,"2017-01-08"
"Serogroup B",2017,2,1,1,"2017-01-08"
"ACWY Serogroups",2017,3,0,3,"2017-01-15"
"Unknown Serogroup",2017,3,10,17,"2017-01-15"
"Serogroup B",2017,3,0,1,"2017-01-15"
"Other Serogroup",2017,3,0,0,"2017-01-15"
"Other Serogroup",2017,4,0,0,"2017-01-22"
"ACWY Serogroups",2017,4,0,3,"2017-01-22"
"Serogroup B",2017,4,0,5,"2017-01-22"
"Unknown Serogroup",2017,4,4,18,"2017-01-22"
"Serogroup B",2017,5,0,6,"2017-01-29"
"Other Serogroup",2017,5,0,1,"2017-01-29"
"Unknown Serogroup",2017,5,2,21,"2017-01-29"
"ACWY Serogroups",2017,5,0,4,"2017-01-29"
"Unknown Serogroup",2017,6,3,28,"2017-02-05"
"Serogroup B",2017,6,0,6,"2017-02-05"
"ACWY Serogroups",2017,6,0,4,"2017-02-05"
"Other Serogroup",2017,6,0,1,"2017-02-05"
"Unknown Serogroup",2017,7,1,35,"2017-02-12"
"Other Serogroup",2017,7,0,1,"2017-02-12"
"ACWY Serogroups",2017,7,0,4,"2017-02-12"
"Serogroup B",2017,7,0,8,"2017-02-12"
"ACWY Serogroups",2017,8,0,7,"2017-02-19"
"Serogroup B",2017,8,0,9,"2017-02-19"
"Unknown Serogroup",2017,8,5,37,"2017-02-19"
"Other Serogroup",2017,8,0,1,"2017-02-19"
"Other Serogroup",2017,9,0,1,"2017-02-26"
"Unknown Serogroup",2017,9,4,43,"2017-02-26"
"ACWY Serogroups",2017,9,0,8,"2017-02-26"
"Serogroup B",2017,9,0,10,"2017-02-26"
"Other Serogroup",2017,10,0,1,"2017-03-05"
"Serogroup B",2017,10,0,14,"2017-03-05"
"Unknown Serogroup",2017,10,2,45,"2017-03-05"
"ACWY Serogroups",2017,10,0,8,"2017-03-05"
"Serogroup B",2017,11,1,16,"2017-03-12"
"Other Serogroup",2017,11,0,1,"2017-03-12"
"Unknown Serogroup",2017,11,5,53,"2017-03-12"
"ACWY Serogroups",2017,11,2,11,"2017-03-12"
"ACWY Serogroups",2017,12,0,12,"2017-03-19"
"Serogroup B",2017,12,0,18,"2017-03-19"
"Unknown Serogroup",2017,12,1,52,"2017-03-19"
"Other Serogroup",2017,12,0,1,"2017-03-19"
"Other Serogroup",2017,13,0,1,"2017-03-26"
"ACWY Serogroups",2017,13,0,15,"2017-03-26"
"Serogroup B",2017,13,0,19,"2017-03-26"
"Unknown Serogroup",2017,13,6,58,"2017-03-26"
"ACWY Serogroups",2017,15,0,17,"2017-04-09"
"Other Serogroup",2017,15,0,2,"2017-04-09"
"Other Serogroup",2017,14,0,2,"2017-04-02"
"Unknown Serogroup",2017,15,1,66,"2017-04-09"
"Serogroup B",2017,15,0,23,"2017-04-09"
"ACWY Serogroups",2017,14,0,17,"2017-04-02"
"Unknown Serogroup",2017,14,3,63,"2017-04-02"
"Serogroup B",2017,14,1,21,"2017-04-02"
"Other Serogroup",2017,16,0,3,"2017-04-16"
"ACWY Serogroups",2017,16,1,18,"2017-04-16"
"Unknown Serogroup",2017,16,1,66,"2017-04-16"
"Serogroup B",2017,16,0,24,"2017-04-16"
"Unknown Serogroup",2017,17,3,69,"2017-04-23"
"ACWY Serogroups",2017,17,0,19,"2017-04-23"
"Other Serogroup",2017,17,0,3,"2017-04-23"
"Serogroup B",2017,17,0,24,"2017-04-23"
"ACWY Serogroups",2017,18,0,22,"2017-04-30"
"Serogroup B",2017,18,0,26,"2017-04-30"
"Unknown Serogroup",2017,18,2,72,"2017-04-30"
"Other Serogroup",2017,18,0,4,"2017-04-30"
"Serogroup B",2017,19,1,29,"2017-05-07"
"ACWY Serogroups",2017,19,2,26,"2017-05-07"
"Other Serogroup",2017,19,0,4,"2017-05-07"
"Unknown Serogroup",2017,19,2,72,"2017-05-07"
"Serogroup B",2017,20,0,30,"2017-05-14"
"ACWY Serogroups",2017,20,0,29,"2017-05-14"
"Unknown Serogroup",2017,20,3,76,"2017-05-14"
"Other Serogroup",2017,20,0,4,"2017-05-14"
"Other Serogroup",2017,21,0,4,"2017-05-21"
"Unknown Serogroup",2017,21,0,78,"2017-05-21"
"ACWY Serogroups",2017,21,1,30,"2017-05-21"
"Serogroup B",2017,21,0,30,"2017-05-21"
"Other Serogroup",2017,22,0,4,"2017-05-28"
"Unknown Serogroup",2017,22,4,82,"2017-05-28"
"ACWY Serogroups",2017,22,0,32,"2017-05-28"
"Serogroup B",2017,22,0,33,"2017-05-28"
"ACWY Serogroups",2017,23,0,32,"2017-06-04"
"Serogroup B",2017,23,0,34,"2017-06-04"
"Other Serogroup",2017,23,0,6,"2017-06-04"
"Unknown Serogroup",2017,23,0,85,"2017-06-04"
"Serogroup B",2017,24,1,35,"2017-06-11"
"Other Serogroup",2017,24,0,6,"2017-06-11"
"ACWY Serogroups",2017,24,0,34,"2017-06-11"
"Unknown Serogroup",2017,24,2,90,"2017-06-11"
"Unknown Serogroup",2017,25,1,91,"2017-06-18"
"Other Serogroup",2017,25,1,7,"2017-06-18"
"ACWY Serogroups",2017,25,0,34,"2017-06-18"
"Serogroup B",2017,25,0,36,"2017-06-18"
"Unknown Serogroup",2017,26,2,103,"2017-06-25"
"Serogroup B",2017,26,0,36,"2017-06-25"
"Other Serogroup",2017,26,0,9,"2017-06-25"
"ACWY Serogroups",2017,26,0,34,"2017-06-25"
"Other Serogroup",2017,27,0,8,"2017-07-02"
"ACWY Serogroups",2017,27,0,34,"2017-07-02"
"Unknown Serogroup",2017,27,0,110,"2017-07-02"
"Serogroup B",2017,27,0,31,"2017-07-02"
"ACWY Serogroups",2017,28,1,37,"2017-07-09"
"Unknown Serogroup",2017,28,3,116,"2017-07-09"
"Other Serogroup",2017,28,0,8,"2017-07-09"
"Serogroup B",2017,28,0,32,"2017-07-09"
"ACWY Serogroups",2017,29,1,41,"2017-07-16"
"Unknown Serogroup",2017,29,1,111,"2017-07-16"
"Serogroup B",2017,29,0,38,"2017-07-16"
"Other Serogroup",2017,29,0,9,"2017-07-16"
"ACWY Serogroups",2017,30,0,41,"2017-07-23"
"Other Serogroup",2017,30,0,9,"2017-07-23"
"Serogroup B",2017,30,0,38,"2017-07-23"
"Unknown Serogroup",2017,30,2,114,"2017-07-23"
"ACWY Serogroups",2017,31,0,41,"2017-07-30"
"Unknown Serogroup",2017,31,2,119,"2017-07-30"
"Other Serogroup",2017,31,0,9,"2017-07-30"
"Serogroup B",2017,31,0,38,"2017-07-30"
"Other Serogroup",2017,32,0,9,"2017-08-06"
"Serogroup B",2017,32,0,40,"2017-08-06"
"Unknown Serogroup",2017,32,1,119,"2017-08-06"
"ACWY Serogroups",2017,32,0,41,"2017-08-06"
"Other Serogroup",2017,33,0,10,"2017-08-13"
"ACWY Serogroups",2017,33,0,41,"2017-08-13"
"Serogroup B",2017,33,0,42,"2017-08-13"
"Unknown Serogroup",2017,33,1,120,"2017-08-13"
"Other Serogroup",2017,34,0,10,"2017-08-20"
"Serogroup B",2017,34,0,42,"2017-08-20"
"Unknown Serogroup",2017,34,1,124,"2017-08-20"
"ACWY Serogroups",2017,34,0,42,"2017-08-20"
"Unknown Serogroup",2017,35,1,127,"2017-08-27"
"Serogroup B",2017,35,1,43,"2017-08-27"
"Other Serogroup",2017,35,1,11,"2017-08-27"
"ACWY Serogroups",2017,35,0,42,"2017-08-27"
"Other Serogroup",2017,36,0,12,"2017-09-03"
"Serogroup B",2017,36,0,43,"2017-09-03"
"Unknown Serogroup",2017,36,1,127,"2017-09-03"
"ACWY Serogroups",2017,36,0,42,"2017-09-03"
"Serogroup B",2017,37,0,44,"2017-09-10"
"Unknown Serogroup",2017,37,2,132,"2017-09-10"
"Other Serogroup",2017,37,0,13,"2017-09-10"
"ACWY Serogroups",2017,37,0,43,"2017-09-10"
"Serogroup B",2017,38,0,45,"2017-09-17"
"Other Serogroup",2017,38,0,13,"2017-09-17"
"Unknown Serogroup",2017,38,3,139,"2017-09-17"
"ACWY Serogroups",2017,38,0,43,"2017-09-17"
"Other Serogroup",2017,39,0,13,"2017-09-24"
"Unknown Serogroup",2017,39,1,141,"2017-09-24"
"ACWY Serogroups",2017,39,0,45,"2017-09-24"
"Serogroup B",2017,39,0,46,"2017-09-24"
"Serogroup B",2017,40,0,48,"2017-10-01"
"Unknown Serogroup",2017,40,6,149,"2017-10-01"
"ACWY Serogroups",2017,40,0,46,"2017-10-01"
"Other Serogroup",2017,40,0,12,"2017-10-01"
"Other Serogroup",2017,41,0,12,"2017-10-08"
"Unknown Serogroup",2017,41,2,151,"2017-10-08"
"Serogroup B",2017,41,0,48,"2017-10-08"
"ACWY Serogroups",2017,41,0,48,"2017-10-08"
"Serogroup B",2017,42,0,49,"2017-10-15"
"ACWY Serogroups",2017,42,0,48,"2017-10-15"
"Unknown Serogroup",2017,42,3,154,"2017-10-15"
"Other Serogroup",2017,42,0,12,"2017-10-15"
"ACWY Serogroups",2017,43,0,50,"2017-10-22"
"Unknown Serogroup",2017,43,4,157,"2017-10-22"
"Other Serogroup",2017,43,0,12,"2017-10-22"
"Serogroup B",2017,43,0,49,"2017-10-22"
"Unknown Serogroup",2017,44,3,163,"2017-10-29"
"Serogroup B",2017,44,0,51,"2017-10-29"
"Other Serogroup",2017,44,0,12,"2017-10-29"
"ACWY Serogroups",2017,44,0,52,"2017-10-29"
"ACWY Serogroups",2017,45,0,54,"2017-11-05"
"Unknown Serogroup",2017,45,3,163,"2017-11-05"
"Serogroup B",2017,45,0,53,"2017-11-05"
"Other Serogroup",2017,45,0,12,"2017-11-05"
"Other Serogroup",2017,46,0,12,"2017-11-12"
"Serogroup B",2017,46,0,53,"2017-11-12"
"ACWY Serogroups",2017,46,0,57,"2017-11-12"
"Unknown Serogroup",2017,46,0,164,"2017-11-12"
"ACWY Serogroups",2017,47,1,59,"2017-11-19"
"Other Serogroup",2017,47,0,12,"2017-11-19"
"Unknown Serogroup",2017,47,4,171,"2017-11-19"
"Serogroup B",2017,47,1,55,"2017-11-19"
"ACWY Serogroups",2017,48,0,62,"2017-11-26"
"Other Serogroup",2017,48,0,13,"2017-11-26"
"Unknown Serogroup",2017,48,2,175,"2017-11-26"
"Serogroup B",2017,48,0,57,"2017-11-26"
"ACWY Serogroups",2017,49,0,63,"2017-12-03"
"Unknown Serogroup",2017,49,3,175,"2017-12-03"
"Other Serogroup",2017,49,0,13,"2017-12-03"
"Serogroup B",2017,49,0,64,"2017-12-03"
"ACWY Serogroups",2017,50,0,63,"2017-12-10"
"Serogroup B",2017,50,0,64,"2017-12-10"
"Unknown Serogroup",2017,50,1,175,"2017-12-10"
"Other Serogroup",2017,50,0,14,"2017-12-10"
"Other Serogroup",2017,51,0,14,"2017-12-17"
"Serogroup B",2017,52,0,67,"2017-12-24"
"ACWY Serogroups",2017,51,0,63,"2017-12-17"
"Other Serogroup",2017,52,0,14,"2017-12-24"
"Unknown Serogroup",2017,52,2,186,"2017-12-24"
"ACWY Serogroups",2017,52,0,63,"2017-12-24"
"Serogroup B",2017,51,0,65,"2017-12-17"
"Unknown Serogroup",2017,51,3,179,"2017-12-17"
"ACWY Serogroups",2018,1,0,0,"2017-12-31"
"Serogroup B",2018,1,1,1,"2017-12-31"
"Other Serogroup",2018,1,0,0,"2017-12-31"
"Unknown Serogroup",2018,1,2,2,"2017-12-31"
"Unknown Serogroup",2018,2,5,7,"2018-01-07"
"Serogroup B",2018,2,0,1,"2018-01-07"
"ACWY Serogroups",2018,2,0,0,"2018-01-07"
"Other Serogroup",2018,2,0,0,"2018-01-07"
"ACWY Serogroups",2018,3,0,1,"2018-01-14"
"Other Serogroup",2018,3,0,0,"2018-01-14"
"Unknown Serogroup",2018,3,5,12,"2018-01-14"
"Serogroup B",2018,3,0,2,"2018-01-14"
"Serogroup B",2018,4,0,2,"2018-01-21"
"ACWY Serogroups",2018,4,1,6,"2018-01-21"
"Unknown Serogroup",2018,4,1,13,"2018-01-21"
"Other Serogroup",2018,4,0,0,"2018-01-21"
"Unknown Serogroup",2018,5,3,16,"2018-01-28"
"Serogroup B",2018,5,0,4,"2018-01-28"
"Other Serogroup",2018,5,1,2,"2018-01-28"
"ACWY Serogroups",2018,5,1,7,"2018-01-28"
"Other Serogroup",2018,6,0,2,"2018-02-04"
"ACWY Serogroups",2018,6,1,10,"2018-02-04"
"Serogroup B",2018,6,0,4,"2018-02-04"
"Unknown Serogroup",2018,6,1,24,"2018-02-04"
"Other Serogroup",2018,7,0,2,"2018-02-11"
"Unknown Serogroup",2018,7,2,32,"2018-02-11"
"Serogroup B",2018,7,0,4,"2018-02-11"
"ACWY Serogroups",2018,7,0,11,"2018-02-11"
"Unknown Serogroup",2018,8,1,34,"2018-02-18"
"Serogroup B",2018,8,1,6,"2018-02-18"
"ACWY Serogroups",2018,8,1,14,"2018-02-18"
"Other Serogroup",2018,8,0,2,"2018-02-18"
"Unknown Serogroup",2018,9,4,39,"2018-02-25"
"Serogroup B",2018,9,0,6,"2018-02-25"
"ACWY Serogroups",2018,9,0,15,"2018-02-25"
"Other Serogroup",2018,9,0,2,"2018-02-25"
"Unknown Serogroup",2018,10,0,42,"2018-03-04"
"ACWY Serogroups",2018,10,0,17,"2018-03-04"
"Other Serogroup",2018,10,0,2,"2018-03-04"
"Serogroup B",2018,10,0,7,"2018-03-04"
"Other Serogroup",2018,11,0,2,"2018-03-11"
"Serogroup B",2018,11,0,7,"2018-03-11"
"Unknown Serogroup",2018,11,4,47,"2018-03-11"
"ACWY Serogroups",2018,11,2,19,"2018-03-11"
"Unknown Serogroup",2018,12,3,52,"2018-03-18"
"Other Serogroup",2018,12,0,3,"2018-03-18"
"Serogroup B",2018,12,1,9,"2018-03-18"
"ACWY Serogroups",2018,12,0,21,"2018-03-18"
"Unknown Serogroup",2018,13,2,56,"2018-03-25"
"Other Serogroup",2018,13,0,4,"2018-03-25"
"Serogroup B",2018,13,0,12,"2018-03-25"
"ACWY Serogroups",2018,13,1,22,"2018-03-25"
"ACWY Serogroups",2018,14,2,25,"2018-04-01"
"Other Serogroup",2018,14,0,6,"2018-04-01"
"Unknown Serogroup",2018,14,1,57,"2018-04-01"
"Serogroup B",2018,14,1,13,"2018-04-01"
"Other Serogroup",2018,15,1,7,"2018-04-08"
"Unknown Serogroup",2018,15,1,58,"2018-04-08"
"Serogroup B",2018,15,1,15,"2018-04-08"
"ACWY Serogroups",2018,15,0,26,"2018-04-08"
"Serogroup B",2018,16,0,15,"2018-04-15"
"Unknown Serogroup",2018,16,2,60,"2018-04-15"
"Other Serogroup",2018,16,2,9,"2018-04-15"
"ACWY Serogroups",2018,16,0,27,"2018-04-15"
"ACWY Serogroups",2018,17,1,30,"2018-04-22"
"Other Serogroup",2018,17,0,9,"2018-04-22"
"Unknown Serogroup",2018,17,3,63,"2018-04-22"
"Serogroup B",2018,17,0,16,"2018-04-22"
"Other Serogroup",2018,18,0,9,"2018-04-29"
"Unknown Serogroup",2018,18,1,65,"2018-04-29"
"Serogroup B",2018,18,0,16,"2018-04-29"
"ACWY Serogroups",2018,18,0,31,"2018-04-29"
"Serogroup B",2018,19,0,20,"2018-05-06"
"ACWY Serogroups",2018,19,2,34,"2018-05-06"
"Unknown Serogroup",2018,19,2,67,"2018-05-06"
"Other Serogroup",2018,19,1,11,"2018-05-06"
"ACWY Serogroups",2018,20,0,35,"2018-05-13"
"Other Serogroup",2018,20,1,12,"2018-05-13"
"Unknown Serogroup",2018,20,1,68,"2018-05-13"
"Serogroup B",2018,20,0,22,"2018-05-13"
"Other Serogroup",2018,21,0,12,"2018-05-20"
"Unknown Serogroup",2018,21,2,71,"2018-05-20"
"Serogroup B",2018,21,0,22,"2018-05-20"
"ACWY Serogroups",2018,21,0,35,"2018-05-20"
"Unknown Serogroup",2018,22,4,78,"2018-05-27"
"ACWY Serogroups",2018,22,3,38,"2018-05-27"
"Serogroup B",2018,22,0,24,"2018-05-27"
"Other Serogroup",2018,22,0,12,"2018-05-27"
"Serogroup B",2018,23,0,24,"2018-06-03"
"ACWY Serogroups",2018,23,0,38,"2018-06-03"
"Other Serogroup",2018,23,0,12,"2018-06-03"
"Unknown Serogroup",2018,23,3,81,"2018-06-03"
"Other Serogroup",2018,24,0,12,"2018-06-10"
"ACWY Serogroups",2018,24,0,39,"2018-06-10"
"Unknown Serogroup",2018,24,0,81,"2018-06-10"
"Serogroup B",2018,24,0,25,"2018-06-10"
"ACWY Serogroups",2018,25,0,39,"2018-06-17"
"Unknown Serogroup",2018,25,3,85,"2018-06-17"
"Other Serogroup",2018,25,0,12,"2018-06-17"
"Serogroup B",2018,25,0,26,"2018-06-17"
"Serogroup B",2018,26,0,27,"2018-06-24"
"Other Serogroup",2018,26,0,11,"2018-06-24"
"Unknown Serogroup",2018,26,3,87,"2018-06-24"
"ACWY Serogroups",2018,26,1,45,"2018-06-24"
"Unknown Serogroup",2018,27,1,89,"2018-07-01"
"Serogroup B",2018,27,1,28,"2018-07-01"
"ACWY Serogroups",2018,27,0,45,"2018-07-01"
"Other Serogroup",2018,27,0,11,"2018-07-01"
"ACWY Serogroups",2018,28,0,49,"2018-07-08"
"Unknown Serogroup",2018,28,2,93,"2018-07-08"
"Other Serogroup",2018,28,0,11,"2018-07-08"
"Serogroup B",2018,28,0,30,"2018-07-08"
"Other Serogroup",2018,29,0,12,"2018-07-15"
"ACWY Serogroups",2018,29,0,57,"2018-07-15"
"Serogroup B",2018,29,0,31,"2018-07-15"
"Unknown Serogroup",2018,29,2,96,"2018-07-15"
"ACWY Serogroups",2018,30,0,58,"2018-07-22"
"Unknown Serogroup",2018,30,1,97,"2018-07-22"
"Other Serogroup",2018,30,0,12,"2018-07-22"
"Serogroup B",2018,30,0,31,"2018-07-22"
"Other Serogroup",2018,31,0,12,"2018-07-29"
"Serogroup B",2018,31,0,32,"2018-07-29"
"ACWY Serogroups",2018,31,0,59,"2018-07-29"
"Unknown Serogroup",2018,31,0,97,"2018-07-29"
"Unknown Serogroup",2018,32,1,99,"2018-08-05"
"ACWY Serogroups",2018,32,0,61,"2018-08-05"
"Serogroup B",2018,32,0,33,"2018-08-05"
"Other Serogroup",2018,32,0,12,"2018-08-05"
"Unknown Serogroup",2018,32,1,99,"2018-08-05"
"ACWY Serogroups",2018,32,0,61,"2018-08-05"
"Serogroup B",2018,32,0,33,"2018-08-05"
"Other Serogroup",2018,32,0,12,"2018-08-05"
"ACWY Serogroups",2018,33,1,62,"2018-08-12"
"Unknown Serogroup",2018,33,1,100,"2018-08-12"
"Other Serogroup",2018,33,0,12,"2018-08-12"
"Serogroup B",2018,33,1,34,"2018-08-12"
"Other Serogroup",2018,34,0,12,"2018-08-19"
"Unknown Serogroup",2018,34,1,103,"2018-08-19"
"ACWY Serogroups",2018,34,0,63,"2018-08-19"
"Serogroup B",2018,34,0,35,"2018-08-19"
"Other Serogroup",2018,35,0,12,"2018-08-26"
"ACWY Serogroups",2018,35,1,65,"2018-08-26"
"Unknown Serogroup",2018,35,1,102,"2018-08-26"
"Serogroup B",2018,35,0,39,"2018-08-26"
"Other Serogroup",2018,36,0,12,"2018-09-02"
"Unknown Serogroup",2018,36,1,106,"2018-09-02"
"ACWY Serogroups",2018,36,0,65,"2018-09-02"
"Serogroup B",2018,36,0,39,"2018-09-02"
"Other Serogroup",2018,37,0,13,"2018-09-09"
"Unknown Serogroup",2018,37,1,108,"2018-09-09"
"ACWY Serogroups",2018,37,0,65,"2018-09-09"
"Serogroup B",2018,37,0,40,"2018-09-09"
"ACWY Serogroups",2018,38,0,65,"2018-09-16"
"Unknown Serogroup",2018,38,1,110,"2018-09-16"
"Serogroup B",2018,38,0,40,"2018-09-16"
"Other Serogroup",2018,38,0,13,"2018-09-16"
"Other Serogroup",2018,39,0,14,"2018-09-23"
"ACWY Serogroups",2018,39,0,66,"2018-09-23"
"Unknown Serogroup",2018,39,1,110,"2018-09-23"
"Serogroup B",2018,39,0,40,"2018-09-23"
"Unknown Serogroup",2018,40,0,115,"2018-09-30"
"Other Serogroup",2018,40,0,14,"2018-09-30"
"ACWY Serogroups",2018,40,1,67,"2018-09-30"
"Serogroup B",2018,40,1,42,"2018-09-30"
"Unknown Serogroup",2018,41,1,124,"2018-10-07"
"Serogroup B",2018,41,0,42,"2018-10-07"
"ACWY Serogroups",2018,41,0,67,"2018-10-07"
